word_id,languoid,speaker_id,sentence,word,part_of_speech,stress,ka_mi_chu,accusative,reciprocal,nominal_plural,notes
89,qud,ET,García Morénoka ?unakunata hasta wáñu?ixmi karka,karka,verb,penultimate,NA,NA,NA,NA,
90,qud,ET,"žakinayta kawsaxta ?arix karka, ?imanta",žakinayta,adj,penultimate,NA,ta,NA,NA,
91,qud,ET,"žakinayta kawsaxta ?arix karka, ?imanta",kawsaxta,noun,penultimate,NA,ta,NA,NA,
92,qud,ET,"žakinayta kawsaxta ?arix karka, ?imanta",?arix,noun,penultimate,NA,NA,NA,NA,
93,qud,ET,"žakinayta kawsaxta ?arix karka, ?imanta","karka,",verb,penultimate,NA,NA,NA,NA,
94,qud,ET,"žakinayta kawsaxta ?arix karka, ?imanta",?imanta,particle,penultimate,NA,NA,NA,NA,
95,qud,ET,munarkan?i kay pavimento (?) ?áypika,munarkan?i,verb,NA,NA,NA,NA,NA,cannot determine pitch due to noise
96,qud,ET,munarkan?i kay pavimento (?) ?áypika,?áypika,particle,NA,ka,NA,NA,NA,cannot determine pitch due to noise
97,qud,ET,Daquilémata ?uranata munarkan?i,?uranata,verb,penultimate,NA,ta,NA,NA,"while the first vowel has a higher F0 than the third, editor finds the word still has penultimate stress"
98,qud,ET,Daquilémata ?uranata munarkan?i,munarkan?i,verb,penultimate,NA,NA,NA,NA,
99,qud,ET,o Calixto Muzo niškata ?uranakukan?i,niškata,verb,penultimate,NA,ta,NA,NA,
100,qud,ET,o Calixto Muzo niškata ?uranakukan?i,?uranakukan?i,verb,penultimate,NA,NA,naku,NA,
101,qud,ET,"kay ñankuna kunun ña šútikuna ?arín, mana yapa aži gan šutikunaš ajeno wakinkuna kan",ñankuna,noun,penultimate,NA,NA,NA,kuna,
102,qud,ET,"kay ñankuna kunun ña šútikuna ?arín, mana yapa aži gan šutikunaš ajeno wakinkuna kan",kunun,adj,penultimate,NA,NA,NA,NA,
103,qud,ET,"kay ñankuna kunun ña šútikuna ?arín, mana yapa aži gan šutikunaš ajeno wakinkuna kan",šútikuna,noun,preantepenultimate,NA,NA,NA,kuna,
104,qud,ET,"kay ñankuna kunun ña šútikuna ?arín, mana yapa aži gan šutikunaš ajeno wakinkuna kan","?arín,",verb,ultimate,NA,NA,NA,NA,
105,qud,ET,"kay ñankuna kunun ña šútikuna ?arín, mana yapa aži gan šutikunaš ajeno wakinkuna kan",mana,particle,penultimate,NA,NA,NA,NA,
106,qud,ET,"kay ñankuna kunun ña šútikuna ?arín, mana yapa aži gan šutikunaš ajeno wakinkuna kan",yapa,adj,penultimate,NA,NA,NA,NA,
107,qud,ET,"kay ñankuna kunun ña šútikuna ?arín, mana yapa aži gan šutikunaš ajeno wakinkuna kan",aži,adj,penultimate,NA,NA,NA,NA,
108,qud,ET,"kay ñankuna kunun ña šútikuna ?arín, mana yapa aži gan šutikunaš ajeno wakinkuna kan",šutikunaš,noun,penultimate,NA,NA,NA,NA,
109,qud,ET,"kay ñankuna kunun ña šútikuna ?arín, mana yapa aži gan šutikunaš ajeno wakinkuna kan",wakinkuna,adj,NA,NA,NA,NA,kuna,unclear
110,qud,ET,mana ya?an?i pi kaška kan,mana,particle,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
111,qud,ET,mana ya?an?i pi kaška kan,ya?an?i,verb,penultimate,NA,NA,NA,NA,
112,qud,ET,mana ya?an?i pi kaška kan,kaška,verb,penultimate,NA,NA,NA,NA,
113,qud,ET,"mana ya?an?i piguna kan, pero šina calleguna šuti ?arín",mana,particle,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
114,qud,ET,"mana ya?an?i piguna kan, pero šina calleguna šuti ?arín",ya?an?i,verb,penultimate,NA,NA,NA,NA,
115,qud,ET,"mana ya?an?i piguna kan, pero šina calleguna šuti ?arín",piguna,pronoun,penultimate,NA,NA,NA,kuna,
116,qud,ET,"mana ya?an?i piguna kan, pero šina calleguna šuti ?arín",šina,adj,penultimate,NA,NA,NA,NA,
117,qud,ET,"mana ya?an?i piguna kan, pero šina calleguna šuti ?arín",šuti,noun,penultimate,NA,NA,NA,NA,
118,qud,ET,"mana ya?an?i piguna kan, pero šina calleguna šuti ?arín",?arín,verb,ultimate,NA,NA,NA,NA,
119,qud,ET,mana šutikuna ?arix,mana,particle,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
120,qud,ET,mana šutikuna ?arix,šutikuna,noun,preantepenultimate,NA,NA,NA,kuna,
121,qud,ET,mana šutikuna ?arix,?arix,noun,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
122,qud,ET,mana,mana,particle,penultimate,NA,NA,NA,NA,
123,qud,ET,"ñánkunaka pavimentoguna ?arix, aštawan nima",ñankúnaka,noun,antepenultimate,ka,NA,NA,NA,
124,qud,ET,"ñánkunaka pavimentoguna ?arix, aštawan nima","?arix,",noun,penultimate,NA,NA,NA,NA,
125,qud,ET,"ñánkunaka pavimentoguna ?arix, aštawan nima",aštawan,adj,penultimate,NA,NA,NA,NA,
126,qud,ET,"ñánkunaka pavimentoguna ?arix, aštawan nima",nima,pronoun,penultimate,NA,NA,NA,NA,
127,qud,ET,purina,purina,verb,penultimate,NA,NA,NA,NA,
128,qud,ET,?akížami tiyax karka,?akížami,adv,antepenultimate,mi,NA,NA,NA,
129,qud,ET,?akížami tiyax karka,tiyax,noun,penultimate,NA,NA,NA,NA,
130,qud,ET,?akížami tiyax karka,karka,verb,penultimate,NA,NA,NA,NA,
131,qud,ET,"?akiñankúnami tiyax karka, ñuka",?akiñankúnami,noun,antepenultimate,mi,NA,NA,NA,
132,qud,ET,"?akiñankúnami tiyax karka, ñuka",tiyax,noun,penultimate,NA,NA,NA,NA,
133,qud,ET,"?akiñankúnami tiyax karka, ñuka","karka,",verb,penultimate,NA,NA,NA,NA,
134,qud,ET,"?akiñankúnami tiyax karka, ñuka",ñuka,pronoun,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
135,qud,ET,piška wátada ?arikani,piška,numeral,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
136,qud,ET,piška wátada ?arikani,wátada,noun,antepenultimate,NA,ta,NA,NA,
137,qud,ET,piška wátada ?arikani,?arikani,verb,penultimate,NA,NA,NA,NA,
138,qud,ET,?aypi yuwarini,?aypi,pronoun,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
139,qud,ET,?aypi yuwarini,yuwarini,verb,penultimate,NA,NA,NA,NA,
140,qud,ET,tukuy,tukuy,adj,penultimate,NA,NA,NA,NA,
141,qud,ET,"kúnunka Panamericana Norte nin?i, ?aymanta šamuška xipaka mana",kúnunka,adj,penultimate,ka,NA,NA,NA,
142,qud,ET,"kúnunka Panamericana Norte nin?i, ?aymanta šamuška xipaka mana","nin?i,",verb,penultimate,NA,NA,NA,NA,
143,qud,ET,"kúnunka Panamericana Norte nin?i, ?aymanta šamuška xipaka mana",?aymanta,particle,penultimate,NA,NA,NA,NA,
144,qud,ET,"kúnunka Panamericana Norte nin?i, ?aymanta šamuška xipaka mana",šamuška,verb,penultimate,NA,NA,NA,NA,
145,qud,ET,"kúnunka Panamericana Norte nin?i, ?aymanta šamuška xipaka mana",xipaka,adj,penultimate,ka,NA,NA,NA,
146,qud,ET,"kúnunka Panamericana Norte nin?i, ?aymanta šamuška xipaka mana",mana,particle,penultimate,NA,NA,NA,NA,
147,qud,ET,ñan aži tiyax?u karka,aži,adj,penultimate,NA,NA,NA,NA,
148,qud,ET,ñan aži tiyax?u karka,tiyax?u,noun,penultimate,?u,NA,NA,NA,"while the first vowel has a higher F0 than the second, editor finds the word still has penultimate stress"
149,qud,ET,ñan aži tiyax?u karka,karka,verb,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
150,qud,ET,ñukan?ix kawsana ukupika,ñukan?ix,pronoun,penultimate,NA,NA,NA,NA,"while the third vowel has a higher F0 than the second, editor finds the word still has penultimate stress"
151,qud,ET,ñukan?ix kawsana ukupika,kawsana,verb,penultimate,NA,NA,NA,NA,
152,qud,ET,ñukan?ix kawsana ukupika,ukupika,noun,penultimate,ka,NA,NA,NA,
153,qud,ET,"zanjakunami tiyax karka, za, zanjakuna ukupimi šux",tiyax,noun,penultimate,NA,NA,NA,NA,
154,qud,ET,"zanjakunami tiyax karka, za, zanjakuna ukupimi šux","karka,",verb,penultimate,NA,NA,NA,NA,
155,qud,ET,"zanjakunami tiyax karka, za, zanjakuna ukupimi šux",ukupimi,noun,penultimate,mi,NA,NA,NA,
156,qud,ET,?aki ñan tiyax karka ?ikunami,?aki,noun,penultimate,NA,NA,NA,NA,
157,qud,ET,?aki ñan tiyax karka ?ikunami,tiyax,noun,penultimate,NA,NA,NA,NA,
158,qud,ET,?aki ñan tiyax karka ?ikunami,karka,verb,penultimate,NA,NA,NA,NA,
159,qud,ET,?aki ñan tiyax karka ?ikunami,?ikunami,pronoun,penultimate,mi,NA,NA,NA,
160,qud,ET,wasimun ringawxka,wasimun,noun,penultimate,NA,NA,NA,NA,
161,qud,ET,wasimun ringawxka,ringawxka,verb,penultimate,ka,NA,NA,NA,
162,qud,ET,ukuža rix ?arirkan?i,ukuža,noun,penultimate,NA,NA,NA,NA,
163,qud,ET,ukuža rix ?arirkan?i,?arirkan?i,verb,penultimate,NA,NA,NA,NA,
164,qud,ET,mana kan?a kan?a lado pambala [...] purina[...],mana,particle,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
165,qud,ET,mana kan?a kan?a lado pambala [...] purina[...],kan?a,adj,penultimate,NA,NA,NA,NA,
166,qud,ET,mana kan?a kan?a lado pambala [...] purina[...],pambala,adj,penultimate,NA,NA,NA,NA,
167,qud,ET,mana kan?a kan?a lado pambala [...] purina[...],purina[...],verb,penultimate,NA,NA,NA,NA,
168,qud,ET,šux ñankunami tiyax karka,ñankúnami,noun,antepenultimate,mi,NA,NA,NA,
169,qud,ET,šux ñankunami tiyax karka,tiyax,noun,penultimate,NA,NA,NA,NA,
170,qud,ET,šux ñankunami tiyax karka,karka,verb,penultimate,NA,NA,NA,NA,
171,qud,ET,yaku apaška xipa uxturiška xipa,yaku,noun,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
172,qud,ET,yaku apaška xipa uxturiška xipa,apaška,verb,penultimate,NA,NA,NA,NA,
173,qud,ET,yaku apaška xipa uxturiška xipa,xipa,adj,penultimate,NA,NA,NA,NA,
174,qud,ET,yaku apaška xipa uxturiška xipa,uxturiška,verb,penultimate,NA,NA,NA,NA,"while the first vowel has a higher F0 than the third, editor finds the word still has penultimate stress"
175,qud,ET,yaku apaška xipa uxturiška xipa,xipa,adj,penultimate,NA,NA,NA,NA,
176,qud,ET,?ay xípami uku ñánpika,xípami,adj,antepenultimate,mi,NA,NA,NA,
177,qud,ET,?ay xípami uku ñánpika,uku,noun,penultimate,NA,NA,NA,NA,
178,qud,ET,?ay xípami uku ñánpika,ñánpika,noun,antepenultimate,ka,NA,NA,NA,
179,qud,ET,wila y xiwakuna,wila,noun,penultimate,NA,NA,NA,NA,
180,qud,ET,wila y xiwakuna,xiwakuna,noun,penultimate,NA,NA,NA,kuna,
181,qud,ET,wila yurakuna wiñax karka,wila,noun,penultimate,NA,NA,NA,NA,
182,qud,ET,wila yurakuna wiñax karka,yurakuna,noun,penultimate,NA,NA,NA,kuna,
183,qud,ET,wila yurakuna wiñax karka,wiñax,noun,penultimate,NA,NA,NA,NA,
184,qud,ET,wila yurakuna wiñax karka,karka,verb,penultimate,NA,NA,NA,NA,
185,qud,ET,?i... ?i purínagunaga,purínagunaga,verb,prepreantepenultimate,ka,NA,NA,NA,
186,qud,ET,wagraguna purina,wagraguna,noun,penultimate,NA,NA,NA,kuna,
187,qud,ET,wagraguna purina,purina,verb,penultimate,NA,NA,NA,NA,
188,qud,ET,aškuguna purina ñukun?ix purinaka aštawan ña,aškuguna,noun,penultimate,NA,NA,NA,kuna,
189,qud,ET,aškuguna purina ñukun?ix purinaka aštawan ña,purina,verb,penultimate,NA,NA,NA,NA,
190,qud,ET,aškuguna purina ñukun?ix purinaka aštawan ña,ñukun?ix,pronoun,penultimate,NA,NA,NA,NA,
191,qud,ET,aškuguna purina ñukun?ix purinaka aštawan ña,purinaka,verb,penultimate,ka,NA,NA,NA,
192,qud,ET,aškuguna purina ñukun?ix purinaka aštawan ña,aštawan,adj,penultimate,NA,NA,NA,NA,"while the third vowel has a higher F0 than the second, editor finds the word still has penultimate stress"
193,qud,ET,uxtu ladomi túkuška karka,uxtu,noun,penultimate,NA,NA,NA,NA,"while the second vowel has a higher F0 than the first, editor finds the word still has penultimate stress"
